,"p, q, z, k",Loss,SE,Upper,Lower,Penalty
0,"[2, 1, 1, 1]",0.002787264648359269,4.445102243666906e-07,0.0027881536688080023,0.0027863756279105354,0.007957559681697613
1,"[2, 1, 1, 2]",0.0027556253806687893,3.6703240564476853e-07,0.002756359445480079,0.0027548913158574996,0.014588859416445624
2,"[2, 1, 1, 3]",0.0027430353383533657,2.269459359625398e-07,0.0027434892302252907,0.002742581446481441,0.021220159151193633
3,"[2, 1, 2, 1]",0.002782770360354334,4.038102775365405e-07,0.0027835779809094073,0.0027819627397992607,0.009283819628647215
4,"[2, 1, 2, 2]",0.002753451536409557,3.384350880194078e-07,0.0027541284065855957,0.0027527746662335184,0.017241379310344827
5,"[2, 1, 2, 3]",0.002744376838672906,2.2495954151116527e-07,0.0027448267577559284,0.0027439269195898837,0.025198938992042442
6,"[2, 1, 3, 1]",0.0027803201624192297,3.8175028673726395e-07,0.0027810836629927043,0.002779556661845755,0.010610079575596816
7,"[2, 1, 3, 2]",0.002752695744857192,3.2839713058814693e-07,0.002753352539118368,0.0027520389505960156,0.01989389920424403
8,"[2, 1, 3, 3]",0.0027444216958247124,2.2435633350909337e-07,0.002744870408491731,0.002743972983157694,0.029177718832891247
9,"[2, 2, 1, 1]",0.002782610165886581,4.927691128766143e-07,0.0027835957041123342,0.0027816246276608277,0.009283819628647215
10,"[2, 2, 1, 2]",0.0027509511238895355,3.5800346232632883e-07,0.002751667130814188,0.002750235116964883,0.017241379310344827
11,"[2, 2, 1, 3]",0.002740954370237887,2.422267801409424e-07,0.002741438823798169,0.002740469916677605,0.025198938992042442
12,"[2, 2, 2, 1]",0.0027772452309727668,4.3802984700982043e-07,0.0027781212906667864,0.002776369171278747,0.010610079575596816
13,"[2, 2, 2, 2]",0.002749027747195214,3.1979403041404187e-07,0.002749667335256042,0.002748388159134386,0.01989389920424403
14,"[2, 2, 2, 3]",0.0027422110619954765,2.1623898478235722e-07,0.0027426435399650413,0.0027417785840259117,0.029177718832891247
15,"[2, 2, 3, 1]",0.0027734214905649423,4.15409772497269e-07,0.002774252310109937,0.0027725906710199476,0.011936339522546418
16,"[2, 2, 3, 2]",0.00274861688259989,3.1656808399067694e-07,0.0027492500187678713,0.0027479837464319088,0.022546419098143235
17,"[2, 2, 3, 3]",0.002740894395392388,2.215741579168667e-07,0.0027413375437082216,0.002740451247076554,0.033156498673740056
18,"[2, 3, 1, 1]",0.0027542299311608077,5.48723531102262e-07,0.002755327378223012,0.0027531324840986034,0.010610079575596816
19,"[2, 3, 1, 2]",0.002719569590408355,3.994752149415026e-07,0.002720368540838238,0.002718770639978472,0.01989389920424403
20,"[2, 3, 1, 3]",0.0027098563592880963,2.7533255838495226e-07,0.0027104070244048663,0.0027093056941713263,0.029177718832891247
21,"[2, 3, 2, 1]",0.0027460173051804303,4.693734445992204e-07,0.0027469560520696286,0.002745078558291232,0.011936339522546418
22,"[2, 3, 2, 2]",0.0027116991463117302,3.4742280707140746e-07,0.002712393991925873,0.0027110043006975874,0.022546419098143235
23,"[2, 3, 2, 3]",0.002705244638491422,2.6714398401948805e-07,0.002705778926459461,0.002704710350523383,0.033156498673740056
24,"[2, 3, 3, 1]",0.002742034704424441,4.2046814516837067e-07,0.0027428756407147778,0.0027411937681341043,0.013262599469496022
25,"[2, 3, 3, 2]",0.0027115164045244454,3.290053831210625e-07,0.0027121744152906876,0.002710858393758203,0.025198938992042442
26,"[2, 3, 3, 3]",0.0027053615148179234,2.5241192060907545e-07,0.0027058663386591414,0.0027048566909767054,0.03713527851458886
