,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.01, 0, 0.1]","[1, 3, 1, 2]",0.002588826932478696,0.019867549668874173
1,"[0.01, 0, 0.2]","[1, 3, 1, 2]",0.0026092412602156403,0.019867549668874173
2,"[0.01, 0.001, 0.1]","[1, 3, 1, 2]",0.0027550571085885166,0.033112582781456956
3,"[0.01, 0.001, 0.2]","[1, 3, 1, 2]",0.0027704737801104782,0.019867549668874173
4,"[0.01, 0.01, 0.1]","[1, 3, 1, 2]",0.002792763845063746,0.019867549668874173
5,"[0.01, 0.01, 0.2]","[1, 3, 1, 2]",0.002805257027503103,0.019867549668874173
6,"[0.01, 0.1, 0.1]","[1, 3, 1, 2]",0.0027866817731410265,0.019867549668874173
7,"[0.01, 0.1, 0.2]","[1, 3, 1, 2]",0.002794173122383654,0.019867549668874173
8,"[0.01, 1, 0.1]","[1, 3, 1, 2]",0.0027469464484602213,0.019867549668874173
9,"[0.01, 1, 0.2]","[1, 3, 1, 2]",0.0027882261760532857,0.019867549668874173
10,"[0.01, 10, 0.1]","[1, 3, 1, 2]",0.002786336315330118,0.019867549668874173
11,"[0.01, 10, 0.2]","[1, 3, 1, 2]",0.002782282896805555,0.019867549668874173
12,"[0.1, 0, 0.1]","[1, 3, 1, 2]",0.0032754460675641895,0.013245033112582781
13,"[0.1, 0, 0.2]","[1, 3, 1, 2]",0.003138221970293671,0.013245033112582781
14,"[0.1, 0.001, 0.1]","[1, 3, 1, 2]",0.003435151856392622,0.019867549668874173
15,"[0.1, 0.001, 0.2]","[1, 3, 1, 2]",0.0033648113277740775,0.019867549668874173
16,"[0.1, 0.01, 0.1]","[1, 3, 1, 2]",0.0032987975236028434,0.019867549668874173
17,"[0.1, 0.01, 0.2]","[1, 3, 1, 2]",0.0032911543385125697,0.019867549668874173
18,"[0.1, 0.1, 0.1]","[1, 3, 1, 2]",0.0034350430802442132,0.019867549668874173
19,"[0.1, 0.1, 0.2]","[1, 3, 1, 2]",0.0032890868186950684,0.019867549668874173
20,"[0.1, 1, 0.1]","[1, 3, 1, 2]",0.0033191511151380837,0.019867549668874173
21,"[0.1, 1, 0.2]","[1, 3, 1, 2]",0.003203004407696426,0.019867549668874173
22,"[0.1, 10, 0.1]","[1, 3, 1, 2]",0.0036305522313341498,0.019867549668874173
23,"[0.1, 10, 0.2]","[1, 3, 1, 2]",0.003464437036309391,0.019867549668874173
